i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
6209 41.051427364349365 -0.04870389401912689 0.013230584561824799 0.11562380194664001 -1.06519734868221 -0.037075258057564474 -0.0 0.03495488851566003 0.8522525489544731 -0.8872074374701331 818.0 5303.0 -2008.0 -0.5600947812199593 -0.14818254709243772 -0.03052703299932182 -0.003941037517040969 -0.47457553446292877 0.11504832655191422 0.04870389401912689 -0.013230584561824799 
6210 41.056408166885376 -0.04256796836853027 0.010354369878768921 0.11485681310296059 -0.9802637350242585 0.09580612106993795 -0.0 -0.09032687718364331 0.845545426646571 -0.7552185494629278 821.0 5329.0 -2030.0 -0.48953163623809814 -0.1159689426422119 -0.030537674991413955 -0.003941037517040969 -0.4601944237947464 0.21571610122919083 0.04256796836853027 -0.010354369878768921 
6211 41.06144118309021 -0.04256796836853027 0.010354369878768921 0.11485681310296059 -0.5200799532216043 -0.11990998015925287 -0.0 0.11305221347006941 0.36811739687945677 -0.4811696103495262 823.0 5357.0 -2054.0 -0.48953163623809814 -0.1159689426422119 -0.030548316983506085 -0.003941037517040969 0.0 0.0 0.04256796836853027 -0.010354369878768921 
6212 41.0664165019989 -0.0306796133518219 0.0017257258296012878 0.11389807425439358 -1.274998166685924 0.6238791368789971 -0.0 -0.5881988911039321 1.0 -0.7469321982362096 826.0 5385.0 -2077.0 -0.35281555354595184 -0.01932812929153442 -0.03055598688684404 -0.003941037517040969 -0.891626626253128 0.6471483036875725 0.0306796133518219 -0.0017257258296012878 
6213 41.071441650390625 -0.02569417655467987 -0.0030679628252983093 0.11408982239663601 -0.6999532005954534 0.38994602825306357 -0.0 -0.36764464116600304 0.7553317156786079 -0.38768707451260487 829.0 5416.0 -2106.0 -0.2954830303788185 0.034361183643341064 -0.030562410430982713 -0.003941804507747293 -0.37390775978565216 0.3595266491174698 0.02569417655467987 0.0030679628252983093 
6214 41.0764434337616 -0.022050976753234863 -0.0072864145040512085 0.11447331681847572 -0.5573941409457475 0.39404809224046766 -0.0 -0.3715121041824758 0.6408664624025875 -0.26935435822011183 832.0 5445.0 -2131.0 -0.2535862326622009 0.08160784244537353 -0.03056792317517102 -0.003943626111373306 -0.27323998510837555 0.31638387590646744 0.022050976753234863 0.0072864145040512085 
6215 41.08142328262329 -0.018791265785694122 -0.01016262173652649 0.11543205566704273 -0.49115050009265543 0.3255907391179353 -0.0 -0.3069698926957761 0.5545076503944839 -0.2475377576987078 835.0 5476.0 -2160.0 -0.2160995565354824 0.11382136344909667 -0.030572620991617443 -0.003946166766807437 -0.24447832256555557 0.21571554243564606 0.018791265785694122 0.01016262173652649 
6216 41.08642840385437 -0.014572814106941223 -0.01150485873222351 0.11696603521704674 -0.5145475023314356 0.22557314949668944 -0.0 -0.21267240488362127 0.5264624788203288 -0.31379007393670766 838.0 5503.0 -2186.0 -0.16758736222982407 0.12885441780090331 -0.030576264195144177 -0.003949042981490493 -0.31638387590646744 0.10066777467727661 0.014572814106941223 0.01150485873222351 
6217 41.0914568901062 -0.009779125452041626 -0.011696606874465942 0.11907525919377804 -0.5025653007924556 0.1414311405289918 -0.0 -0.13334255805199685 0.4770141288159525 -0.34367157076395577 841.0 5533.0 -2215.0 -0.1124599426984787 0.13100199699401854 -0.03057870897650719 -0.003951967133209109 -0.3595266491174698 0.014381110668182373 0.009779125452041626 0.011696606874465942 
6218 41.09643745422363 -0.004218444228172302 -0.011121362447738647 0.12175972573459148 -0.496142964001745 0.07746117993630468 -0.0 -0.07303110081556316 0.4416145841665542 -0.368583483350991 842.0 5557.0 -2238.0 -0.048512108623981476 0.12455925941467284 -0.030579763587564233 -0.003954747473821045 -0.4170510917901993 -0.04314333200454712 0.004218444228172302 0.011121362447738647 
6219 41.101436614990234 0.0011504888534545898 -0.010354369878768921 0.12444419227540493 -0.4200191228948534 0.05448716390319167 -0.0 -0.051370990778092936 0.36862967315695655 -0.3172586823788637 842.0 5583.0 -2263.0 0.013230621814727783 0.1159689426422119 -0.030579763587564233 -0.0039573360662907365 -0.4026699811220169 -0.05752444267272949 -0.0011504888534545898 0.010354369878768921 
6220 41.10642886161804 0.006135925650596619 -0.009587384760379791 0.12674516439437866 -0.3339243783913553 0.045895092524588094 -0.0 -0.04327030819642702 0.29428326734317134 -0.25101295914674426 841.0 5610.0 -2288.0 0.07056314498186111 0.10737870931625365 -0.030579763587564233 -0.003959732912480831 -0.37390775978565216 -0.05752388387918472 -0.006135925650596619 0.009587384760379791 
6221 41.1114661693573 0.010737866163253784 -0.007861651480197906 0.12866263836622238 -0.25223984115943315 -0.04534119776077569 -0.0 0.04274809120501972 0.18457892227791997 -0.22732701348293965 841.0 5633.0 -2309.0 0.12348546087741852 0.08805049657821655 -0.030579763587564233 -0.003961698325350881 -0.3451455384492874 -0.12942999601364136 -0.010737866163253784 0.007861651480197906 
