i t_now roll pitch yaw dyaw psi_1 psi_2 psi_3 dpsi1 dpsi2 dpsi3 Tz 
25 10.155958414077759 -0.0019174739718437195 0.003259710967540741 0.133264584466815 0.9587377309799194 38.0 46.0 50.0 4.0 3.0 4.0 0.25 
26 10.160885095596313 -0.0023009702563285828 0.004218451678752899 0.13825002312660217 0.9970877319574356 45.0 52.0 57.0 4.0 4.0 4.0 0.25 
27 10.165736675262451 -0.002684466540813446 0.0046019405126571655 0.14093448966741562 0.5368933081626892 49.0 56.0 61.0 4.0 3.0 4.0 0.25 
28 10.170796155929565 -0.002684466540813446 0.0046019405126571655 0.14093448966741562 0.0 49.0 56.0 61.0 4.0 3.0 4.0 0.25 
29 10.175667524337769 -0.0030679628252983093 0.005368933081626892 0.14611167460680008 1.035436987876892 57.0 63.0 69.0 3.0 3.0 3.0 0.25 
30 10.180696249008179 -0.003259710967540741 0.005752429366111755 0.1486043930053711 0.4985436797142029 60.0 66.0 72.0 4.0 4.0 5.0 0.25 
31 10.1856689453125 -0.0036431998014450073 0.006135925650596619 0.15128885954618454 0.5368933081626892 64.0 70.0 77.0 5.0 4.0 4.0 0.25 
32 10.190678119659424 -0.003834947943687439 0.006519421935081482 0.15397332608699799 0.5368933081626892 69.0 74.0 81.0 4.0 4.0 5.0 0.25 
33 10.195668697357178 -0.004026696085929871 0.00709465891122818 0.156466044485569 0.4985436797142029 73.0 78.0 86.0 4.0 3.0 4.0 0.25 
34 10.200674057006836 -0.004218444228172302 0.007478155195713043 0.15915051102638245 0.5368933081626892 77.0 81.0 90.0 4.0 3.0 4.0 0.25 
35 10.205659866333008 -0.004410192370414734 0.008053399622440338 0.1618349775671959 0.5368933081626892 81.0 84.0 94.0 4.0 4.0 4.0 0.25 
36 10.210666418075562 -0.0046019405126571655 0.008436895906925201 0.16451944410800934 0.5368933081626892 85.0 88.0 98.0 4.0 3.0 5.0 0.25 
37 10.215660333633423 -0.004793688654899597 0.008820392191410065 0.16739565879106522 0.5752429366111755 89.0 91.0 103.0 5.0 4.0 4.0 0.25 
38 10.22066354751587 -0.004985436797142029 0.00939563661813736 0.1702718734741211 0.5752429366111755 94.0 95.0 107.0 4.0 4.0 5.0 0.25 
39 10.225663661956787 -0.004985436797142029 0.00939563661813736 0.1702718734741211 0.0 98.0 99.0 112.0 4.0 4.0 4.0 0.25 
40 10.230666875839233 -0.005368933081626892 0.010354369878768921 0.17602430284023285 1.150485873222351 102.0 103.0 116.0 5.0 4.0 4.0 0.25 
41 10.235661029815674 -0.005560681223869324 0.010737866163253784 0.17909226566553116 0.6135925650596619 107.0 107.0 120.0 4.0 3.0 5.0 0.25 
42 10.24066424369812 -0.005752429366111755 0.011313110589981079 0.18196848034858704 0.5752429366111755 111.0 110.0 125.0 5.0 4.0 4.0 0.25 
43 10.245680809020996 -0.005944177508354187 0.011696606874465942 0.18484468758106232 0.5752414464950562 116.0 114.0 129.0 4.0 4.0 5.0 0.25 
44 10.250661611557007 -0.005944177508354187 0.01227184385061264 0.18791265040636063 0.6135925650596619 120.0 118.0 134.0 5.0 4.0 5.0 0.25 
45 10.255699396133423 -0.006135918200016022 0.012655340135097504 0.19098061323165894 0.6135925650596619 125.0 122.0 139.0 5.0 4.0 4.0 0.25 
46 10.26069450378418 -0.006327666342258453 0.013230584561824799 0.19404857605695724 0.6135925650596619 130.0 126.0 143.0 5.0 4.0 5.0 0.25 
47 10.265681028366089 -0.006519414484500885 0.013614080846309662 0.19711653888225555 0.6135925650596619 135.0 130.0 148.0 4.0 4.0 5.0 0.25 
48 10.27067494392395 -0.006519414484500885 0.013614080846309662 0.19711653888225555 0.0 135.0 130.0 148.0 4.0 4.0 5.0 0.25 
49 10.275665760040283 -0.006711162626743317 0.014764569699764252 0.203444205224514 1.2655332684516907 144.0 138.0 158.0 5.0 4.0 4.0 0.25 
50 10.28066372871399 -0.006902910768985748 0.01533980667591095 0.20651216804981232 0.6135925650596619 149.0 142.0 162.0 4.0 4.0 5.0 0.25 
51 10.285685062408447 -0.00709465891122818 0.015723302960395813 0.20977187901735306 0.6519421935081482 153.0 146.0 167.0 5.0 4.0 4.0 0.25 
52 10.290659666061401 -0.007478155195713043 0.016106799244880676 0.2130315899848938 0.6519421935081482 158.0 150.0 171.0 5.0 4.0 5.0 0.25 
53 10.295691728591919 -0.007669903337955475 0.01649029552936554 0.2160995528101921 0.6135925650596619 163.0 154.0 176.0 5.0 4.0 4.0 0.25 
54 10.300664186477661 -0.007861651480197906 0.016873791813850403 0.21935925632715225 0.6519407033920288 168.0 158.0 180.0 5.0 4.0 5.0 0.25 
55 10.305668115615845 -0.007861651480197906 0.016873791813850403 0.21935925632715225 0.0 173.0 162.0 185.0 4.0 4.0 5.0 0.25 
56 10.310715913772583 -0.007861651480197906 0.016873791813850403 0.21935925632715225 0.0 173.0 162.0 185.0 4.0 4.0 5.0 0.25 
57 10.315681457519531 -0.008628644049167633 0.017832525074481964 0.22837139666080475 1.8024280667304993 183.0 171.0 195.0 4.0 4.0 4.0 0.25 
58 10.320667505264282 -0.008820384740829468 0.018024273216724396 0.23143935948610306 0.6135925650596619 187.0 175.0 199.0 5.0 4.0 5.0 0.25 
59 10.325700044631958 -0.008820384740829468 0.018024273216724396 0.23143935948610306 0.0 187.0 175.0 199.0 5.0 4.0 5.0 0.25 
60 10.330661535263062 -0.009395629167556763 0.01859951764345169 0.23738353699445724 1.1888355016708374 197.0 183.0 208.0 5.0 4.0 5.0 0.25 
61 10.335667133331299 -0.009779125452041626 0.018791265785694122 0.24045149236917496 0.6135910749435425 202.0 187.0 213.0 5.0 4.0 4.0 0.25 
62 10.340665102005005 -0.01016262173652649 0.018983013927936554 0.24351946264505386 0.6135940551757812 207.0 191.0 217.0 5.0 5.0 4.0 0.25 
63 10.345698118209839 -0.010546118021011353 0.019174762070178986 0.24658741801977158 0.6135910749435425 212.0 196.0 221.0 5.0 5.0 4.0 0.25 
64 10.35067105293274 -0.010929614305496216 0.019366510212421417 0.24984712153673172 0.6519407033920288 217.0 201.0 225.0 6.0 4.0 5.0 0.25 
65 10.35566520690918 -0.011313110589981079 0.01975000649690628 0.25310683995485306 0.6519436836242676 223.0 205.0 230.0 4.0 4.0 3.0 0.25 
66 10.360679388046265 -0.011696599423885345 0.020133502781391144 0.2563665434718132 0.6519407033920288 227.0 209.0 233.0 5.0 5.0 5.0 0.25 
67 10.365722417831421 -0.011888347566127777 0.02051699161529541 0.2594345137476921 0.6135940551757812 232.0 214.0 238.0 5.0 4.0 3.0 0.25 
68 10.370827674865723 -0.011888347566127777 0.02051699161529541 0.2594345137476921 0.0 232.0 214.0 238.0 5.0 4.0 3.0 0.25 
69 10.375670433044434 -0.012655340135097504 0.021283984184265137 0.26576217263936996 1.2655317783355713 242.0 223.0 246.0 5.0 4.0 4.0 0.25 
70 10.380669116973877 -0.013038836419582367 0.02166748046875 0.2690218910574913 0.6519436836242676 247.0 227.0 250.0 5.0 4.0 5.0 0.25 
71 10.385673522949219 -0.013038836419582367 0.02166748046875 0.2690218910574913 0.0 247.0 227.0 250.0 5.0 4.0 5.0 0.25 
72 10.390692472457886 -0.01342233270406723 0.022050976753234863 0.2724733427166939 0.6902903318405151 252.0 231.0 255.0 5.0 4.0 3.0 0.25 
73 10.395663022994995 -0.01418931782245636 0.022817961871623993 0.27956800907850266 1.4189332723617554 263.0 240.0 263.0 4.0 4.0 4.0 0.25 
74 10.400703430175781 -0.01418931782245636 0.022817961871623993 0.27956800907850266 0.0 263.0 240.0 263.0 4.0 4.0 4.0 0.25 
75 10.405666828155518 -0.014764562249183655 0.02377670258283615 0.28685440868139267 1.457279920578003 272.0 248.0 271.0 5.0 4.0 4.0 0.25 
76 10.410700559616089 -0.014764562249183655 0.02377670258283615 0.28685440868139267 0.0 272.0 248.0 271.0 5.0 4.0 4.0 0.25 
77 10.415666103363037 -0.015531554818153381 0.024160198867321014 0.2941408231854439 1.4572829008102417 283.0 257.0 280.0 4.0 4.0 4.0 0.25 
78 10.420685052871704 -0.015531554818153381 0.024160198867321014 0.2941408231854439 0.0 287.0 261.0 284.0 6.0 4.0 4.0 0.25 
79 10.425687313079834 -0.015531554818153381 0.024160198867321014 0.2941408231854439 0.0 287.0 261.0 284.0 6.0 4.0 4.0 0.25 
80 10.430717706680298 -0.01668204367160797 0.024543695151805878 0.3008519932627678 1.3422340154647827 293.0 265.0 288.0 6.0 5.0 5.0 0.25 
81 10.435684204101562 -0.017640776932239532 0.024543695151805878 0.30717966705560684 1.26553475856781 304.0 274.0 297.0 5.0 4.0 4.0 0.25 
82 10.440675258636475 -0.018216021358966827 0.02473544329404831 0.310439370572567 0.6519407033920288 309.0 278.0 301.0 5.0 4.0 4.0 0.25 
83 10.445690631866455 -0.018791265785694122 0.02492719143629074 0.31369907408952713 0.6519407033920288 314.0 282.0 305.0 5.0 4.0 4.0 0.25 
84 10.450674533843994 -0.019174762070178986 0.025118939578533173 0.31695879250764847 0.6519436836242676 319.0 286.0 309.0 6.0 5.0 4.0 0.25 
85 10.45570969581604 -0.019174762070178986 0.025118939578533173 0.31695879250764847 0.0 319.0 286.0 309.0 6.0 5.0 4.0 0.25 
86 10.460678815841675 -0.019749999046325684 0.02550242841243744 0.3202184960246086 0.6519407033920288 330.0 295.0 317.0 5.0 4.0 4.0 0.25 
87 10.465723037719727 -0.019749999046325684 0.02550242841243744 0.3202184960246086 0.0 330.0 295.0 317.0 5.0 4.0 4.0 0.25 
88 10.470667839050293 -0.021283984184265137 0.026077672839164734 0.3296141251921654 1.8791258335113525 342.0 304.0 326.0 5.0 4.0 4.0 0.25 
89 10.4757080078125 -0.021283984184265137 0.026077672839164734 0.3296141251921654 0.0 342.0 304.0 326.0 5.0 4.0 4.0 0.25 
90 10.480670690536499 -0.02166748046875 0.026077672839164734 0.3326820954680443 0.6135940551757812 347.0 308.0 330.0 5.0 5.0 4.0 0.25 
91 10.485718965530396 -0.022242717444896698 0.026269420981407166 0.335750050842762 0.6135910749435425 352.0 313.0 334.0 5.0 4.0 4.0 0.25 
92 10.490669012069702 -0.023201458156108856 0.026461169123649597 0.3422694727778435 1.3038843870162964 362.0 322.0 342.0 6.0 5.0 4.0 0.25 
93 10.495691776275635 -0.02377670258283615 0.02665291726589203 0.3455291762948036 0.6519407033920288 368.0 327.0 346.0 5.0 4.0 4.0 0.25 
94 10.500684261322021 -0.02377670258283615 0.02665291726589203 0.3455291762948036 0.0 368.0 327.0 346.0 5.0 4.0 4.0 0.25 
95 10.505680561065674 -0.024927183985710144 0.02684466540813446 0.3520485982298851 1.3038843870162964 378.0 335.0 354.0 5.0 6.0 4.0 0.25 
96 10.510681867599487 -0.024927183985710144 0.02684466540813446 0.3520485982298851 0.0 378.0 335.0 354.0 5.0 6.0 4.0 0.25 
97 10.515702486038208 -0.025118932127952576 0.026461169123649597 0.35530830174684525 0.6519407033920288 383.0 341.0 358.0 6.0 5.0 5.0 0.25 
98 10.52072024345398 -0.025310680270195007 0.02665291726589203 0.3585680201649666 0.6519436836242676 389.0 346.0 363.0 5.0 5.0 4.0 0.25 
99 10.525669813156128 -0.02550242841243744 0.026269420981407166 0.36508742719888687 1.3038814067840576 399.0 356.0 371.0 5.0 4.0 4.0 0.25 
100 10.530719995498657 -0.02550242841243744 0.026269420981407166 0.36508742719888687 0.0 399.0 356.0 371.0 5.0 4.0 4.0 0.25 
101 10.53567123413086 -0.025885924696922302 0.025885924696922302 0.37103161960840225 1.1888384819030762 409.0 365.0 380.0 5.0 5.0 4.0 0.25 
102 10.540708541870117 -0.025885924696922302 0.025885924696922302 0.37103161960840225 0.0 409.0 365.0 380.0 5.0 5.0 4.0 0.25 
103 10.545708894729614 -0.02569417655467987 0.025118939578533173 0.3765922859311104 1.112133264541626 420.0 375.0 389.0 5.0 5.0 4.0 0.25 
104 10.55072546005249 -0.02569417655467987 0.025118939578533173 0.3765922859311104 0.0 420.0 375.0 389.0 5.0 5.0 4.0 0.25 
105 10.555790901184082 -0.02550242841243744 0.02492719143629074 0.3792767599225044 0.5368947982788086 425.0 380.0 393.0 5.0 5.0 4.0 0.25 
106 10.56068730354309 -0.025310680270195007 0.02550242841243744 0.385029174387455 1.1504828929901123 434.0 390.0 401.0 5.0 5.0 5.0 0.25 
107 10.56568455696106 -0.025310680270195007 0.02550242841243744 0.385029174387455 0.0 434.0 390.0 401.0 5.0 5.0 5.0 0.25 
108 10.570710897445679 -0.025310680270195007 0.02569417655467987 0.3880971446633339 0.6135940551757812 439.0 395.0 406.0 4.0 4.0 4.0 0.25 
109 10.575690984725952 -0.02550242841243744 0.02569417655467987 0.3911651149392128 0.6135940551757812 443.0 399.0 410.0 5.0 6.0 5.0 0.25 
110 10.580684423446655 -0.02550242841243744 0.02569417655467987 0.3942330852150917 0.6135940551757812 452.0 409.0 419.0 4.0 5.0 5.0 0.25 
111 10.58567214012146 -0.025310680270195007 0.025885924696922302 0.400752492249012 1.3038814067840576 456.0 414.0 424.0 4.0 5.0 4.0 0.25 
112 10.59072494506836 -0.025310680270195007 0.025885924696922302 0.400752492249012 0.0 456.0 414.0 424.0 4.0 5.0 4.0 0.25 
113 10.595672845840454 -0.025310680270195007 0.026077672839164734 0.40401221066713333 0.6519436836242676 460.0 419.0 428.0 5.0 6.0 6.0 0.25 
114 10.600697040557861 -0.025310680270195007 0.026269420981407166 0.40708015114068985 0.6135880947113037 465.0 425.0 434.0 4.0 5.0 4.0 0.25 
115 10.605672836303711 -0.025310680270195007 0.026461169123649597 0.4105316177010536 0.6902933120727539 469.0 430.0 438.0 4.0 5.0 5.0 0.25 
116 10.610688924789429 -0.02550242841243744 0.02665291726589203 0.41724277287721634 1.342231035232544 477.0 439.0 447.0 5.0 6.0 5.0 0.25 
117 10.615678548812866 -0.02550242841243744 0.02665291726589203 0.41724277287721634 0.0 477.0 439.0 447.0 5.0 6.0 5.0 0.25 
118 10.620717287063599 -0.025310680270195007 0.02684466540813446 0.42088598757982254 0.7286429405212402 482.0 445.0 452.0 4.0 4.0 4.0 0.25 
119 10.62567949295044 -0.025310680270195007 0.02684466540813446 0.42088598757982254 0.0 486.0 449.0 456.0 4.0 5.0 5.0 0.25 
120 10.630728960037231 -0.02550242841243744 0.027611657977104187 0.4277888908982277 1.3805806636810303 490.0 454.0 461.0 5.0 6.0 6.0 0.25 
121 10.635677099227905 -0.02569417655467987 0.02780340611934662 0.43104860931634903 0.6519436836242676 495.0 460.0 467.0 4.0 5.0 5.0 0.25 
122 10.640688180923462 -0.025885924696922302 0.02857039123773575 0.43718454986810684 1.2271881103515625 504.0 470.0 476.0 4.0 5.0 5.0 0.25 
123 10.645696878433228 -0.025885924696922302 0.02857039123773575 0.43718454986810684 0.0 504.0 470.0 476.0 4.0 5.0 5.0 0.25 
124 10.650686264038086 -0.026269420981407166 0.029337383806705475 0.4429369643330574 1.1504828929901123 513.0 479.0 485.0 5.0 6.0 6.0 0.25 
125 10.655725002288818 -0.026269420981407166 0.029337383806705475 0.4429369643330574 0.0 513.0 479.0 485.0 5.0 6.0 6.0 0.25 
126 10.660678148269653 -0.02665291726589203 0.02991262823343277 0.44562143832445145 0.5368947982788086 522.0 489.0 495.0 4.0 5.0 5.0 0.25 
127 10.665730476379395 -0.02665291726589203 0.02991262823343277 0.44562143832445145 0.0 522.0 489.0 495.0 4.0 5.0 5.0 0.25 
128 10.670671939849854 -0.02684466540813446 0.030679620802402496 0.451373852789402 1.1504828929901123 526.0 494.0 500.0 5.0 4.0 4.0 0.25 
129 10.675686120986938 -0.02684466540813446 0.031063109636306763 0.4542500749230385 0.5752444267272949 531.0 498.0 504.0 5.0 6.0 6.0 0.25 
130 10.680723190307617 -0.027228161692619324 0.03221359848976135 0.46057773381471634 1.2655317783355713 541.0 508.0 515.0 4.0 4.0 4.0 0.25 
131 10.685726881027222 -0.027228161692619324 0.03221359848976135 0.46057773381471634 0.0 541.0 508.0 515.0 4.0 4.0 4.0 0.25 
132 10.690677165985107 -0.02761165052652359 0.03278884291648865 0.46364570409059525 0.6135940551757812 545.0 512.0 519.0 5.0 5.0 5.0 0.25 
133 10.695724725723267 -0.02780339866876602 0.03336408734321594 0.4669054225087166 0.6519436836242676 550.0 517.0 524.0 4.0 4.0 4.0 0.25 
134 10.70067572593689 -0.02780339866876602 0.03393932431936264 0.47016511112451553 0.65193772315979 554.0 521.0 528.0 5.0 4.0 5.0 0.25 
135 10.70569109916687 -0.027995146811008453 0.034514568746089935 0.47342482954263687 0.6519436836242676 559.0 525.0 533.0 5.0 6.0 6.0 0.25 
136 10.710677146911621 -0.027995146811008453 0.03508981317281723 0.4766845479607582 0.6519436836242676 564.0 531.0 539.0 4.0 4.0 4.0 0.25 
137 10.715721130371094 -0.028186894953250885 0.035665057599544525 0.480136014521122 0.6902933120727539 568.0 535.0 543.0 5.0 4.0 5.0 0.25 
138 10.72067642211914 -0.028378643095493317 0.03624029457569122 0.48339570313692093 0.65193772315979 573.0 539.0 548.0 4.0 4.0 4.0 0.25 
139 10.725817203521729 -0.02857039123773575 0.03681553900241852 0.48665542155504227 0.6519436836242676 577.0 543.0 552.0 5.0 5.0 5.0 0.25 
140 10.730678796768188 -0.02876213937997818 0.03739078342914581 0.49010688811540604 0.6902933120727539 582.0 548.0 557.0 5.0 4.0 5.0 0.25 
141 10.735792398452759 -0.02895388752222061 0.03796602785587311 0.493366576731205 0.65193772315979 587.0 552.0 562.0 4.0 5.0 5.0 0.25 
142 10.740680456161499 -0.02895388752222061 0.0385412722826004 0.4966262951493263 0.6519436836242676 591.0 557.0 567.0 5.0 4.0 5.0 0.25 
143 10.745690822601318 -0.02895388752222061 0.0385412722826004 0.4966262951493263 0.0 596.0 561.0 572.0 4.0 4.0 4.0 0.25 
144 10.750679969787598 -0.029337383806705475 0.03988350182771683 0.5035291984677315 1.3805806636810303 600.0 565.0 576.0 6.0 5.0 5.0 0.25 
145 10.75570297241211 -0.02895388752222061 0.03988350182771683 0.5067889168858528 0.6519436836242676 606.0 570.0 581.0 5.0 5.0 6.0 0.25 
146 10.760673999786377 -0.02895388752222061 0.040650494396686554 0.5102403834462166 0.6902933120727539 611.0 575.0 587.0 5.0 4.0 5.0 0.25 
147 10.765727043151855 -0.02876213937997818 0.040842242538928986 0.513691820204258 0.6902873516082764 616.0 579.0 592.0 5.0 4.0 4.0 0.25 
148 10.770678997039795 -0.02895388752222061 0.04141748324036598 0.5171432867646217 0.6902933120727539 621.0 583.0 596.0 4.0 5.0 5.0 0.25 
149 10.775692701339722 -0.02876213937997818 0.04141748324036598 0.5205947533249855 0.6902933120727539 625.0 588.0 601.0 6.0 4.0 5.0 0.25 
150 10.780686855316162 -0.02876213937997818 0.04141748324036598 0.5205947533249855 0.0 625.0 588.0 601.0 6.0 4.0 5.0 0.25 
151 10.78569221496582 -0.02895388752222061 0.04199272766709328 0.5240461900830269 0.6902873516082764 635.0 597.0 611.0 5.0 4.0 5.0 0.25 
152 10.790727615356445 -0.029145635664463043 0.042759716510772705 0.5311408713459969 1.4189362525939941 640.0 601.0 616.0 6.0 5.0 5.0 0.25 
153 10.795722484588623 -0.029337383806705475 0.04314321279525757 0.5345923081040382 0.6902873516082764 646.0 606.0 621.0 5.0 5.0 6.0 0.25 
154 10.80072021484375 -0.029529131948947906 0.04352670535445213 0.5378520265221596 0.6519436836242676 651.0 611.0 627.0 4.0 4.0 4.0 0.25 
155 10.805677652359009 -0.029720880091190338 0.043910201638936996 0.5411117449402809 0.6519436836242676 655.0 615.0 631.0 5.0 4.0 5.0 0.25 
156 10.810729265213013 -0.030104368925094604 0.04410194978117943 0.5441797152161598 0.6135940551757812 660.0 619.0 636.0 5.0 5.0 5.0 0.25 
157 10.815675735473633 -0.030296117067337036 0.04448544606566429 0.5470559075474739 0.5752384662628174 665.0 624.0 641.0 6.0 4.0 5.0 0.25 
158 10.820695400238037 -0.0306796133518219 0.044868938624858856 0.5499321296811104 0.5752444267272949 675.0 633.0 651.0 5.0 4.0 4.0 0.25 
159 10.825693130493164 -0.0306796133518219 0.044868938624858856 0.5499321296811104 0.0 675.0 633.0 651.0 5.0 4.0 4.0 0.25 
160 10.830688953399658 -0.031254857778549194 0.04525243490934372 0.5554927960038185 1.112133264541626 680.0 637.0 655.0 5.0 5.0 6.0 0.25 
161 10.8356773853302 -0.03163835406303406 0.04563593119382858 0.5581772699952126 0.5368947982788086 685.0 642.0 661.0 6.0 6.0 6.0 0.25 
162 10.840713739395142 -0.03183010220527649 0.045827679336071014 0.5608617439866066 0.5368947982788086 691.0 648.0 667.0 5.0 4.0 4.0 0.25 
163 10.84568977355957 -0.03183010220527649 0.046019427478313446 0.5633544698357582 0.49854516983032227 696.0 652.0 671.0 4.0 4.0 5.0 0.25 
164 10.850690126419067 -0.03202185034751892 0.046019427478313446 0.5662306621670723 0.5752384662628174 700.0 656.0 676.0 5.0 5.0 4.0 0.25 
165 10.855677366256714 -0.03221359848976135 0.04621117189526558 0.5691068843007088 0.5752444267272949 705.0 661.0 680.0 5.0 5.0 5.0 0.25 
166 10.86072325706482 -0.032405346632003784 0.04640292003750801 0.5723666027188301 0.6519436836242676 710.0 666.0 685.0 5.0 4.0 5.0 0.25 
167 10.8657066822052 -0.032405346632003784 0.04640292003750801 0.5723666027188301 0.0 715.0 670.0 690.0 4.0 4.0 4.0 0.25 
168 10.870676040649414 -0.033172331750392914 0.046978164464235306 0.5790777578949928 1.342231035232544 719.0 674.0 694.0 6.0 5.0 5.0 0.25 
169 10.875837564468384 -0.033172331750392914 0.046978164464235306 0.5790777578949928 0.0 719.0 674.0 694.0 6.0 5.0 5.0 0.25 
170 10.88075852394104 -0.03393932431936264 0.0475534051656723 0.5857889428734779 1.3422369956970215 730.0 684.0 703.0 4.0 5.0 5.0 0.25 
171 10.885795831680298 -0.034322820603847504 0.047745153307914734 0.5892403796315193 0.6902873516082764 734.0 689.0 708.0 5.0 4.0 4.0 0.25 
172 10.890755414962769 -0.03470631688833237 0.047936901450157166 0.5926918461918831 0.6902933120727539 739.0 693.0 712.0 5.0 5.0 4.0 0.25 
173 10.895822525024414 -0.03508981317281723 0.04832039773464203 0.5959515646100044 0.6519436836242676 744.0 698.0 716.0 5.0 5.0 4.0 0.25 
174 10.900754928588867 -0.0354733020067215 0.048703890293836594 0.5992112532258034 0.65193772315979 749.0 703.0 720.0 5.0 4.0 4.0 0.25 
175 10.905800580978394 -0.0354733020067215 0.048703890293836594 0.5992112532258034 0.0 754.0 707.0 724.0 4.0 5.0 5.0 0.25 
176 10.910753726959229 -0.03604854643344879 0.04927913472056389 0.6059224084019661 1.342231035232544 758.0 712.0 729.0 5.0 5.0 4.0 0.25 
177 10.915905952453613 -0.03604854643344879 0.04927913472056389 0.6059224084019661 0.0 758.0 712.0 729.0 5.0 5.0 4.0 0.25 
178 10.920773267745972 -0.036432042717933655 0.04966263100504875 0.6093738749623299 0.6902933120727539 763.0 717.0 733.0 6.0 6.0 6.0 0.25 
179 10.925772905349731 -0.03719903528690338 0.05023787170648575 0.616085059940815 1.3422369956970215 774.0 727.0 743.0 5.0 5.0 5.0 0.25 
180 10.930756568908691 -0.03739078342914581 0.05042961984872818 0.6195365265011787 0.6902933120727539 779.0 732.0 748.0 4.0 4.0 4.0 0.25 
181 10.935777425765991 -0.037774279713630676 0.05081311613321304 0.6229879930615425 0.6902933120727539 783.0 736.0 752.0 6.0 5.0 4.0 0.25 
182 10.940749168395996 -0.03815776854753494 0.051196612417697906 0.6264394000172615 0.6902813911437988 789.0 741.0 756.0 4.0 5.0 5.0 0.25 
183 10.945783615112305 -0.038541264832019806 0.05138835683465004 0.6296991184353828 0.6519436836242676 793.0 746.0 761.0 6.0 6.0 6.0 0.25 
184 10.950745820999146 -0.03892476111650467 0.0517718531191349 0.6331505849957466 0.6902933120727539 799.0 752.0 767.0 5.0 4.0 4.0 0.25 
185 10.955790281295776 -0.0391165092587471 0.052155349403619766 0.6366020515561104 0.6902933120727539 804.0 756.0 771.0 5.0 5.0 5.0 0.25 
186 10.96074891090393 -0.039500005543231964 0.0523470975458622 0.6400535181164742 0.6902933120727539 809.0 761.0 776.0 5.0 5.0 4.0 0.25 
