i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
15 10.075726747512817 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
16 10.080687999725342 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
17 10.085738182067871 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
18 10.090713024139404 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
19 10.095706462860107 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
20 10.100712299346924 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
21 10.10567855834961 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
22 10.110694885253906 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
23 10.11567997932434 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
24 10.12067437171936 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
25 10.12570309638977 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
26 10.130713701248169 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
27 10.135976076126099 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
28 10.140705823898315 -0.0 0.0 0.09817477315664291 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 
