i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
3300 26.491062879562378 0.12271847017109394 0.020708739757537842 1.3150050416588783 1.1308746009459452 -0.17544901371002197 0 0.1654149164624641 -1.0 0.8406477868991385 4235.0 -43335.0 42326.0 1.1310375868668512 -0.18637865781784058 0.0 0.0 -0.0001629859209060669 0.010929644107818604 -0.1256708429852057 -0.020708739757537842 0 
3301 26.49606204032898 0.12291021645069122 0.019941754639148712 1.3150050416588783 1.132681811214398 -0.16490307450294495 0 0.1554721096260571 -1.0 0.8470947713225512 4240.0 -43369.0 42356.0 1.1327633033832267 -0.1794757917523384 0.0 0.0 -8.149216882884503e-05 0.014572717249393463 -0.12586258926480298 -0.019941754639148712 0 
3302 26.501030683517456 0.12291021645069122 0.019941754639148712 1.3148133531212807 1.0841532307491744 -0.1794757917523384 0 0.16921139920920417 -0.9698131057130507 0.8006017065038465 4246.0 -43403.0 42388.0 1.0817439851667285 -0.1794757917523384 0.0 0.0 0.0024092455824457557 0.0 -0.1201937761296365 -0.019941754639148712 0 
3303 26.506094694137573 0.12291021645069122 0.019941754639148712 1.3148133531212807 1.0021752498537613 -0.1794757917523384 0 0.16921139920920417 -0.9028783646005876 0.7336669653913834 4246.0 -43403.0 42388.0 0.998231609911136 -0.1794757917523384 0.0 0.0 0.0039436399426252015 0.0 -0.11091462332345955 -0.019941754639148712 0 
3304 26.51104497909546 0.12195147946476936 0.020708739757537842 1.3144298568367958 0.9634875284858669 -0.20095137506723404 0 0.18945877333173666 -0.8814136594410835 0.691954886109347 4253.0 -43446.0 42427.0 0.9617655186193084 -0.18637865781784058 0.0 0.0 0.0017220098665585261 -0.014572717249393463 -0.10686283540214538 -0.020708739757537842 0 
3305 26.516157150268555 0.11907526478171349 0.020708739757537842 1.3148133531212807 0.9371019777121042 -0.18637865781784058 0 0.1757194837485896 -0.8530003026568378 0.6772808189082482 4266.0 -43518.0 42491.0 0.9358795864718055 -0.18637865781784058 0.0 0.0 0.001222391240298748 0.0 -0.1039866207190895 -0.020708739757537842 0 
3306 26.521043062210083 0.11907526478171349 0.020708739757537842 1.3148133531212807 0.9358795864718055 -0.18637865781784058 0 0.1757194837485896 -0.8520022243885779 0.6762827406399883 4272.0 -43552.0 42522.0 0.9358795864718055 -0.18637865781784058 0.0 0.0 0.0 0.0 -0.1039866207190895 -0.020708739757537842 0 
3307 26.52605128288269 0.11696604080498219 0.01975000649690628 1.3146215453743935 0.9177929908713346 -0.15953412652015686 0 0.15041021692410073 -0.8245799475079265 0.6741697305838259 4279.0 -43587.0 42554.0 0.9168965706812238 -0.17775005847215652 0.0 0.0 0.0008964201901108027 0.018215931951999664 -0.1018773967423582 -0.01975000649690628 0 
3308 26.531030893325806 0.1179247796535492 0.018791265785694122 1.3144298568367958 0.9251177563076859 -0.1509053185582161 0 0.14227489875950766 -0.8264929343605085 0.6842180356010008 4286.0 -43626.0 42589.0 0.9255252203183268 -0.1691213920712471 0.0 0.0 -0.00040746401064097883 0.018216073513031006 -0.1028361355909252 -0.018791265785694122 0 
3309 26.536046743392944 0.12118448875844479 0.018024273216724396 1.3146215453743935 0.9534772258928066 -0.14764560014009476 0 0.13920160676189128 -0.8481116983148752 0.7089100915529839 4294.0 -43667.0 42625.0 0.9548626022623872 -0.16221845895051956 0.0 0.0 -0.0013853763695806265 0.014572858810424805 -0.1060958446958208 -0.018024273216724396 0 
3310 26.54103136062622 0.12597817927598953 0.017257288098335266 1.3146215453743935 0.9959684984503334 -0.14074287563562393 0 0.1326936556875261 -0.8795517015401814 0.7468580458526553 4301.0 -43702.0 42656.0 0.9980058169202899 -0.1553155928850174 0.0 0.0 -0.0020373184699565175 0.014572717249393463 -0.11088953521336554 -0.017257288098335266 0 
3311 26.546069145202637 0.131155364215374 0.016298547387123108 1.3146215453743935 1.0424001777755116 -0.12847085297107697 0 0.12112348176089123 -0.9116779219926046 0.7905544402317133 4309.0 -43744.0 42693.0 1.04460048137475 -0.14668692648410797 0.0 0.0 -0.0022003035992383957 0.018216073513031006 -0.11606672015275 -0.016298547387123108 0 
3312 26.55104160308838 0.13633254915475845 0.015148065984249115 1.3146215453743935 1.0801495100359961 -0.11447344720363617 0 0.10792660104465514 -0.9359016823574767 0.8279750813128215 4316.0 -43778.0 42723.0 1.0819114152466118 -0.13633259385824203 0.0 0.0 -0.001761905210615698 0.021859146654605865 -0.12021237947184576 -0.015148065984249115 0 
3313 26.5560941696167 0.13633254915475845 0.015148065984249115 1.3146215453743935 1.0819114152466118 -0.13633259385824203 0 0.12853560215188586 -0.9476447724914785 0.8191091703395927 4316.0 -43778.0 42723.0 1.0819114152466118 -0.13633259385824203 0.0 0.0 0.0 0.0 -0.12021237947184576 -0.015148065984249115 0 
3314 26.561058282852173 0.14035924896597862 0.014189325273036957 1.3142380490899086 1.1341310305157761 -0.1094878539443016 0 0.10322613864210392 -0.9776271780612215 0.8744010394191176 4324.0 -43814.0 42755.0 1.13671917471279 -0.1277039274573326 0.0 0.0 -0.0025881441970139678 0.018216073513031006 -0.12630213052364334 -0.014189325273036957 0 
3315 26.566093683242798 0.14285196736454964 0.012463599443435669 1.314046360552311 1.1580942349805365 -0.07938360422849655 0 0.07484357981999866 -0.9830017731637177 0.9081581933437191 4339.0 -43891.0 42821.0 1.1591536402999292 -0.11217239499092102 0.0 0.0 -0.0010594053193926812 0.03278879076242447 -0.12879484892221435 -0.012463599443435669 0 
3316 26.571034908294678 0.1426602192223072 0.012847088277339935 1.3142380490899086 1.1575093999802004 -0.12291008234024048 0 0.1158807369319746 -1.0 0.8871620990095499 4346.0 -43924.0 42850.0 1.1574279070197473 -0.11562379449605942 0.0 0.0 8.149296045303346e-05 -0.007286287844181061 -0.12860310077997192 -0.012847088277339935 0 
3317 26.576218366622925 0.1420849785208702 0.013230584561824799 1.3144298568367958 1.152495218004925 -0.1263616904616356 0 0.11913494427682399 -1.0 0.8814409328981634 4353.0 -43959.0 42880.0 1.1522507407068143 -0.11907526105642319 0.0 0.0 0.0002444772981107235 -0.007286429405212402 -0.12802786007853492 -0.013230584561824799 0 
3318 26.581268310546875 0.14131798595190048 0.013230584561824799 1.3148133531212807 1.1456737794278988 -0.11907526105642319 0 0.11226523275274032 -0.9915713401377952 0.8793061073850549 4359.0 -43993.0 42909.0 1.1453478075860868 -0.11907526105642319 0.0 0.0 0.0003259718418121338 0.0 -0.1272608675095652 -0.013230584561824799 0 
3319 26.58607816696167 0.14131798595190048 0.013230584561824799 1.3148133531212807 1.1453478075860868 -0.11907526105642319 0 0.11226523275274032 -0.9913051852434768 0.8790399524907366 4359.0 -43993.0 42909.0 1.1453478075860868 -0.11907526105642319 0.0 0.0 0.0 0.0 -0.1272608675095652 -0.013230584561824799 0 
3320 26.591054916381836 0.13825002685189247 0.011313110589981079 1.3146215453743935 1.119040058303518 -0.06538598984479904 0 0.06164650241846951 -0.9445156327352204 0.8828691303167507 4374.0 -44071.0 42978.0 1.1177361756860147 -0.10181799530982971 0.0 0.0 0.0013038826175033988 0.03643200546503067 -0.1241929084095572 -0.011313110589981079 0 
3321 26.596038818359375 0.1372912861406803 0.009970881044864655 1.3146215453743935 1.0874147284133693 -0.06423556804656982 0 0.0605618743454659 -0.9181513449727006 0.8575894706272346 4381.0 -44106.0 43010.0 1.0859119161578736 -0.08973792940378189 0.0 0.0 0.001502812255495557 0.025502361357212067 -0.12065687957309706 -0.009970881044864655 0 
3322 26.60167694091797 0.1372912861406803 0.009970881044864655 1.3146215453743935 1.0903214974439235 -0.08973792940378189 0 0.08460573121473847 -0.932546640382331 0.8479409091675925 4387.0 -44142.0 43042.0 1.0905400481199086 -0.08973792940378189 0.0 0.0 -0.00021855067598498815 0.0 -0.12117111645776762 -0.009970881044864655 0 
